Gender,Age,Education,EducationField,YearsAtCompany,Department,EnvironmentSatisfaction,JobLevel,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,Churn
M,25.462068185278863,Bachelors,Life Sciences,4.352644817035565,Research & Development,Low,Junior Associate,1.2290802725812506,Yes,Excellent,5.268965907360569,2.8108053621980664,2.0398856347793166,3.04379327489568,3.422182550499547,2.2728735474769306,16.40333801806399,NJ,28.926554626419648,Married,18.193102277918296,No Option Plan,Low
F,34.43383427333867,Bachelors,Life Sciences,16.221728292479796,Finance,High,Associate,1.0,No,Excellent,16.403540000440604,2.6250469428072782,2.998883495104771,12.924026074196075,4.3549812521501865,10.748379328645992,9.073994569485237,NY,36.126168791313454,Single,14.324051967632187,No Option Plan,Low
F,30.0,Masters,Marketing,6.0,Sales,High,Associate,5.0,No,Excellent,9.0,5.0,2.0,3.0,0.0,1.0,35.7768,NJ,30.0,Single,15.0,No Option Plan,High
M,44.08047963685596,Bachelors,Life Sciences,9.413508945307894,Information Technology,High,Associate,4.062372946819301,No,Excellent,14.179065963748595,2.984406763295175,3.049293163446316,6.576981672351666,0.0,1.9014136731073692,9.309813898754976,NY,33.70675447265395,Married,11.319405094092026,Full Option Plan,High
M,42.96677919420683,Bachelors,Human Resources,8.983389597103415,Operations,High,Junior Associate,0.0,No,Excellent,9.983389597103416,5.0,3.0,6.987542197827562,0.9958473992758536,7.979236996379268,4.681243396551996,NY,42.98754219782756,Married,13.0,Full Option Plan,High
M,30.83450954267729,Masters,Life Sciences,8.0,Operations,Very High,Associate,5.455132728867253,No,Excellent,10.0,2.0,3.785059621409243,3.700687302948797,6.190742429008452,7.0,54.44873347259279,NJ,42.37076041040682,Married,11.214940378590756,Full Option Plan,High
M,45.0,Some College,Life Sciences,8.622832267445519,Sales,High,Associate,0.6228322674455209,Yes,Excellent,9.0,3.1644208277878043,2.737582301588892,7.360414569034412,1.1315031976634375,5.3598258721186465,35.61579908826905,NJ,39.9335760428355,Married,13.458411439657715,Full Option Plan,High
M,43.8704850787172,Bachelors,Life Sciences,9.870485078717195,Marketing,Medium,Junior Associate,3.4819403148687837,Yes,Excellent,13.481940314868787,3.2590298425656083,3.0,7.0,0.12951492128280415,2.777089527696825,8.469943581297354,NY,35.16563429154524,Divorced,11.259029842565608,No Option Plan,High
M,53.0,Masters,Life Sciences,2.0,Sales,Low,Manager,6.0,Yes,Excellent,15.0,2.0,2.0,2.0,2.0,2.0,31.7849,NJ,22.0,Single,13.0,No Option Plan,High
F,37.04591362087115,Masters,Life Sciences,0.0306090805807695,Research & Development,Very High,Junior Associate,5.938781838838461,No,Excellent,7.015304540290384,2.984695459709615,3.0,0.0306090805807695,0.0306090805807695,0.0306090805807695,5.499368055050808,NJ,34.95408637912885,Single,14.984695459709616,No Option Plan,Low
M,35.0,Bachelors,Life Sciences,8.0,Research & Development,Very High,Manager,4.0,Yes,Excellent,10.0,2.0,3.0,7.0,0.0,0.0,9.0714,NY,42.0,Married,12.0,No Option Plan,High
M,28.0,Bachelors,Life Sciences,4.0,Finance,High,Junior Associate,5.0,Yes,Excellent,6.0,4.0,3.0,2.0,0.0,3.0,5.65868748103966,NY,39.0,Single,14.0,No Option Plan,Low
F,32.436451853989375,Some College,Medical,3.9405846116446783,Research & Development,High,Junior Associate,0.483079774083516,Yes,Outstanding,4.457504837561164,0.966159548167032,2.987212531738823,2.9405846116446783,0.516920225916484,1.0402341859635564,5.631415229032358,NY,40.0,Single,21.059415388355323,No Option Plan,Low
