EMPLOYEE_ID,GENDER,AGE,EDUCATION,EDUCATIONFIELD,COUNTRY,JOBROLE,YEARSATCOMPANY,BUSINESSTRAVEL,DEPARTMENT,ENVIRONMENTSATISFACTION,JOBINVOLVEMENT,JOBLEVEL,JOBSATISFACTION,NUMCOMPANIESWORKED,OVERTIME,PERFORMANCERATING,RELATIONSHIPSATISFACTION,TOTALWORKINGYEARS,TRAININGTIMESLASTYEAR,WORKLIFEBALANCE,YEARSINCURRENTROLE,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER,DISTANCEFROMHQ,AGEWHENHIRED,MARITALSTATUS,PERCENTSALARYHIKE,STOCKOPTIONLEVEL,MONTHLYINCOME,DAILYRATE,HOURLYRATE,WORKLIFEBALANCESCORE,LEADERSHIPSCORE,CULTURESCORE,BENEFITS_LEAVESCORE,COMPENSATIONSCORE,HAPPINESSPERCENT,ATTRITION,MONTHLYINCOME_SDBIN
1,M,46,Some College,Medical,United States,Human Resources,4,Travel_Rarely,Marketing,Medium,High,Associate,Medium,8,Yes,Outstanding,Very High,16,2,3,2,0,2,4.1276,31,Divorced,22,Full Option Plan,5021,167.366667,20.920833,0.752,0.869,0.782,0.726,0.786,0.628936,No,0
2,M,59,Masters,Human Resources,United States,Manager,3,Non-Travel,Marketing,High,Medium,VP to C-Level,Very High,9,No,Outstanding,Very High,30,3,3,2,2,2,5.9853,43,Married,21,Full Option Plan,18844,628.133333,78.516667,0.811,0.772,0.795,0.731,0.776,0.984052,No,1
3,M,54,Bachelors,Human Resources,United States,Manager,5,Non-Travel,Marketing,Very High,Very High,Executive,Very High,2,Yes,Excellent,High,23,3,3,3,4,4,2.2375,35,Single,12,No Option Plan,17328,577.6,72.2,0.84,0.761,0.746,0.79,0.691,0.478744,No,1
4,F,26,Below College,Life Sciences,United States,Human Resources,8,Travel_Rarely,Finance,High,High,Junior Associate,High,1,No,Outstanding,Very High,8,3,3,7,5,7,6.9875,29,Married,23,Full Option Plan,2942,98.066667,12.258333,0.748,0.678,0.715,0.772,0.789,0.482123,No,0
5,M,30,Bachelors,Human Resources,United States,Human Resources,11,Travel_Rarely,Finance,High,High,Associate,Very High,0,Yes,Excellent,Very High,12,2,1,9,4,7,9.1022,46,Married,19,No Option Plan,6347,211.566667,26.445833,0.845,0.873,0.752,0.658,0.738,0.852535,No,0
6,F,59,Some College,Medical,United States,Human Resources,2,Travel_Rarely,Finance,Medium,High,Junior Associate,High,8,No,Excellent,Very High,7,2,2,2,2,2,2.7505,45,Married,17,No Option Plan,2267,75.566667,9.445833,0.812,0.715,0.811,0.703,0.83,0.936386,No,0
7,M,31,Bachelors,Human Resources,United States,Human Resources,2,Travel_Rarely,Finance,Low,Medium,Associate,Low,3,No,Excellent,Very High,9,1,3,2,1,0,5.1789,32,Married,12,No Option Plan,6410,213.666667,26.708333,0.642,0.776,0.755,0.768,0.784,0.621818,No,0
8,M,42,Below College,Technical Degree,United States,Human Resources,3,Travel_Rarely,Finance,High,High,Junior Associate,High,0,Yes,Excellent,High,4,5,3,2,1,0,6.8516,43,Divorced,11,Full Option Plan,2696,89.866667,11.233333,0.59,0.796,0.693,0.73,0.693,0.866096,No,0
9,M,50,Bachelors,Medical,United States,Manager,32,Travel_Frequently,Marketing,Low,High,VP to C-Level,Medium,1,No,Excellent,High,32,2,3,5,10,7,9.5247,29,Married,11,Full Option Plan,18200,606.666667,75.833333,0.673,0.827,0.747,0.869,0.645,0.889588,No,1
10,F,44,Masters,Life Sciences,United States,Human Resources,2,Travel_Rarely,Marketing,Low,Medium,Associate,High,4,No,Excellent,Medium,10,1,4,2,0,2,8.0002,43,Single,11,No Option Plan,5985,199.5,24.9375,0.659,0.835,0.762,0.832,0.74,0.974771,No,0
11,F,54,Masters,Medical,United States,Human Resources,9,Travel_Rarely,Marketing,High,High,Manager,Medium,2,No,Excellent,High,16,1,4,7,7,1,2.7051,29,Married,15,Full Option Plan,10725,357.5,44.6875,0.644,0.69,0.782,0.642,0.869,0.966996,No,1
12,M,41,Masters,Human Resources,United States,Manager,21,Travel_Rarely,Marketing,Medium,Medium,VP to C-Level,Very High,3,No,Excellent,Medium,23,2,2,6,12,6,9.3994,49,Divorced,15,Small Option Plan,19141,638.033333,79.754167,0.561,0.831,0.835,0.773,0.628,0.850102,No,1
13,F,41,Bachelors,Human Resources,United States,Manager,22,Travel_Rarely,Marketing,Very High,Medium,VP to C-Level,High,1,No,Excellent,Medium,22,3,3,7,2,10,4.4682,34,Married,12,Full Option Plan,19189,639.633333,79.954167,0.508,0.838,0.715,0.869,0.667,0.914377,No,1
14,M,39,Bachelors,Human Resources,United States,Human Resources,8,Travel_Rarely,Finance,High,Very High,Associate,Medium,9,No,Excellent,High,12,3,1,3,3,6,8.1062,44,Married,15,Full Option Plan,6389,212.966667,26.620833,0.573,0.635,0.729,0.798,0.762,0.97172,No,0
15,F,36,Bachelors,Human Resources,United States,Human Resources,5,Travel_Rarely,Finance,High,High,Junior Associate,Medium,4,No,Excellent,Medium,8,2,3,2,0,4,2.2027,25,Married,13,Full Option Plan,2143,71.433333,8.929167,0.561,0.774,0.707,0.585,0.785,0.826133,No,0
16,M,34,Some College,Human Resources,United States,Human Resources,3,Travel_Rarely,Finance,High,High,Junior Associate,Very High,0,No,Excellent,High,4,1,1,2,0,2,8.3175,28,Married,19,Full Option Plan,3737,124.566667,15.570833,0.549,0.755,0.873,0.763,0.85,0.980521,No,0
17,M,28,Some College,Medical,United States,Human Resources,5,Travel_Rarely,Finance,Medium,Medium,Junior Associate,Very High,1,No,Excellent,Very High,6,6,3,1,0,4,2.649,45,Divorced,13,Full Option Plan,4936,164.533333,20.566667,0.56,0.769,0.57,0.693,0.656,0.940343,No,0
18,M,36,Bachelors,Life Sciences,United States,Human Resources,5,Travel_Rarely,Finance,Low,Medium,Junior Associate,Low,0,No,Outstanding,High,6,3,3,4,0,3,7.6785,42,Married,21,No Option Plan,2342,78.066667,9.758333,0.547,0.847,0.767,0.896,0.756,0.822479,No,0
19,M,39,Bachelors,Life Sciences,United States,Human Resources,5,Travel_Rarely,Human Resources,Very High,Medium,Associate,Very High,8,No,Excellent,High,13,2,3,4,0,4,7.6658,36,Married,11,Large Option Plan,5204,173.466667,21.683333,0.555,0.918,0.733,0.74,0.85,0.974603,No,0
20,M,33,Some College,Human Resources,United States,Human Resources,4,Travel_Rarely,Human Resources,Very High,High,Junior Associate,Medium,3,Yes,Excellent,High,7,4,4,3,0,3,8.0988,25,Divorced,11,Full Option Plan,2277,75.9,9.4875,0.785,0.686,0.919,0.751,0.716,0.671304,No,0
